province_id,province_name,district_code,district_name,constituency_no,total_candidates,total_votes_cast,winner_name,winner_party,winner_votes,winner_vote_share_pct,runner_up_name,runner_up_party,runner_up_votes,runner_up_vote_share_pct,victory_margin,victory_margin_pct,closest_race,female_candidates,independent_candidates
1,कोशी प्रदेश,1,ताप्लेजुङ,1,13,42897,क्षितिज थेबे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),13962,32.55,गजेन्द्र प्रसाद तुम्याङ लिम्बु,नेपाली काँग्रेस,11711,27.3,2251,5.25,False,0,0
1,कोशी प्रदेश,2,पाँचथर,1,15,66921,नरेन्द्र कुमार केरुङ,नेपाली काँग्रेस,17233,25.75,हस्त राज शेर्मा,श्रम संस्कृति पार्टी,14734,22.02,2499,3.73,False,0,0
1,कोशी प्रदेश,3,इलाम,1,13,59391,निश्कल राई,नेपाली काँग्रेस,14543,24.49,विनोद नेम्बाङ्ग लिम्बु,श्रम संस्कृति पार्टी,13632,22.95,911,1.53,True,2,0
1,कोशी प्रदेश,3,इलाम,2,14,63781,सुहाङ नेम्बाङ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),22426,35.16,भेषराज आचार्य,नेपाली काँग्रेस,14650,22.97,7776,12.19,False,1,1
1,कोशी प्रदेश,4,झापा,1,15,78291,निशा डाँगी,राष्ट्रिय स्वतन्त्र पार्टी,45680,58.35,केशव राज पाण्डे,नेपाली काँग्रेस,10550,13.48,35130,44.87,False,2,2
1,कोशी प्रदेश,4,झापा,2,18,91323,इन्दिरा राना मगर,राष्ट्रिय स्वतन्त्र पार्टी,60110,65.82,देव राज घिमिरे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),11368,12.45,48742,53.37,False,5,3
1,कोशी प्रदेश,4,झापा,3,17,82506,प्रकाश पाठक,राष्ट्रिय स्वतन्त्र पार्टी,38674,46.87,राजेन्द्र प्रसाद लिङ्देन,राष्ट्रिय प्रजातन्त्र पार्टी,17294,20.96,21380,25.91,False,3,2
1,कोशी प्रदेश,4,झापा,4,16,77054,शम्भु प्रसाद ढकाल,राष्ट्रिय स्वतन्त्र पार्टी,43631,56.62,लाल प्रसाद साँवा लिम्बू,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),11986,15.56,31645,41.07,False,2,1
1,कोशी प्रदेश,4,झापा,5,24,102338,वालेन्द्र शाह,राष्ट्रिय स्वतन्त्र पार्टी,68348,66.79,के.पी शर्मा ओली,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),18734,18.31,49614,48.48,False,3,9
1,कोशी प्रदेश,5,संखुवासभा,1,16,58888,अर्जुन कुमार कार्की,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),15636,26.55,मिङमा शेर्पा,राष्ट्रिय स्वतन्त्र पार्टी,15000,25.47,636,1.08,True,3,1
