district_code,district_name,province_id,province_name,total_constituencies,total_candidates,total_votes_cast,dominant_party,dominant_party_seats,closest_margin_pct,widest_margin_pct,male_candidates,female_candidates
1,ताप्लेजुङ,1,कोशी प्रदेश,1,13,42897,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),1,5.25,5.25,13,0
2,पाँचथर,1,कोशी प्रदेश,1,15,66921,नेपाली काँग्रेस,1,3.73,3.73,15,0
3,इलाम,1,कोशी प्रदेश,2,27,123172,नेपाली काँग्रेस,1,1.53,12.19,24,3
4,झापा,1,कोशी प्रदेश,5,90,431512,राष्ट्रिय स्वतन्त्र पार्टी,5,25.91,53.37,75,15
5,संखुवासभा,1,कोशी प्रदेश,1,16,58888,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),1,1.08,1.08,13,3
6,तेह्रथुम,1,कोशी प्रदेश,1,12,36795,नेपाली काँग्रेस,1,2.39,2.39,11,1
7,भोजपुर,1,कोशी प्रदेश,1,12,53728,श्रम संस्कृति पार्टी,1,3.56,3.56,12,0
8,धनकुटा,1,कोशी प्रदेश,1,17,59208,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),1,6.54,6.54,17,0
9,मोरङ,1,कोशी प्रदेश,6,110,466565,राष्ट्रिय स्वतन्त्र पार्टी,6,13.68,49.92,98,12
10,सुनसरी,1,कोशी प्रदेश,4,110,346275,राष्ट्रिय स्वतन्त्र पार्टी,3,10.23,43.25,90,20
11,सोलुखुम्बु,1,कोशी प्रदेश,1,12,38566,नेपाली काँग्रेस,1,9.73,9.73,11,1
12,खोटाङ,1,कोशी प्रदेश,1,15,58638,श्रम संस्कृति पार्टी,1,6.65,6.65,15,0
13,ओखलढुंगा,1,कोशी प्रदेश,1,15,55535,राष्ट्रिय स्वतन्त्र पार्टी,1,0.01,0.01,11,3
14,उदयपुर,1,कोशी प्रदेश,2,31,114672,राष्ट्रिय स्वतन्त्र पार्टी,2,17.55,25.68,31,0
15,सप्तरी,2,मधेश प्रदेश,4,102,269706,राष्ट्रिय स्वतन्त्र पार्टी,4,22.52,42.55,82,20
16,सिराहा,2,मधेश प्रदेश,4,138,270798,राष्ट्रिय स्वतन्त्र पार्टी,4,31.28,46.83,130,8
17,दोलखा,3,बागमती प्रदेश,1,33,79815,राष्ट्रिय स्वतन्त्र पार्टी,1,18.7,18.7,29,4
18,रामेछाप,3,बागमती प्रदेश,1,17,81994,राष्ट्रिय स्वतन्त्र पार्टी,1,8.78,8.78,16,1
19,सिन्धुली,3,बागमती प्रदेश,2,28,110941,राष्ट्रिय स्वतन्त्र पार्टी,2,1.37,5.89,26,2
20,धनुषा,2,मधेश प्रदेश,4,157,231570,राष्ट्रिय स्वतन्त्र पार्टी,3,0,41.01,142,15
21,महोत्तरी,2,मधेश प्रदेश,4,139,241411,राष्ट्रिय स्वतन्त्र पार्टी,4,34.81,44.52,120,19
22,सर्लाही,2,मधेश प्रदेश,4,131,297411,राष्ट्रिय स्वतन्त्र पार्टी,4,17.53,49.17,125,6
23,रसुवा,3,बागमती प्रदेश,1,12,23941,नेपाली काँग्रेस,1,21.24,21.24,11,1
24,धादिङ,3,बागमती प्रदेश,2,47,150592,राष्ट्रिय स्वतन्त्र पार्टी,2,8.41,29.81,43,4
25,नुवाकोट,3,बागमती प्रदेश,2,30,134370,राष्ट्रिय स्वतन्त्र पार्टी,2,5.96,24.67,29,1
26,काठमाडौं,3,बागमती प्रदेश,10,250,458100,राष्ट्रिय स्वतन्त्र पार्टी,10,18.1,58.7,204,46
27,भक्तपुर,3,बागमती प्रदेश,2,57,144739,राष्ट्रिय स्वतन्त्र पार्टी,2,7.06,44.91,48,9
28,ललितपुर,3,बागमती प्रदेश,3,71,177927,राष्ट्रिय स्वतन्त्र पार्टी,3,19.87,52.31,62,9
29,काभ्रेपलाञ्चोक,3,बागमती प्रदेश,2,42,185704,राष्ट्रिय स्वतन्त्र पार्टी,2,12.14,35.63,39,3
30,सिन्धुपाल्चोक,3,बागमती प्रदेश,2,36,143473,राष्ट्रिय स्वतन्त्र पार्टी,1,3.43,10.26,33,3
31,मकवानपुर,3,बागमती प्रदेश,2,44,176344,राष्ट्रिय स्वतन्त्र पार्टी,2,13.09,24.24,37,7
32,रौतहट,2,मधेश प्रदेश,4,142,269536,राष्ट्रिय स्वतन्त्र पार्टी,3,16.76,30.16,129,13
33,बारा,2,मधेश प्रदेश,4,110,293888,राष्ट्रिय स्वतन्त्र पार्टी,4,29.4,43.04,94,16
34,पर्सा,2,मधेश प्रदेश,4,107,242766,राष्ट्रिय स्वतन्त्र पार्टी,4,21.34,30.75,95,12
35,चितवन,3,बागमती प्रदेश,3,64,272789,राष्ट्रिय स्वतन्त्र पार्टी,3,40.0,49.16,46,18
36,गोरखा,4,गण्डकी प्रदेश,2,25,115537,राष्ट्रिय स्वतन्त्र पार्टी,2,23.62,27.63,22,3
37,मनाङ,4,गण्डकी प्रदेश,1,3,2878,नेपाली काँग्रेस,1,68.14,68.14,2,1
38,लमजुङ,4,गण्डकी प्रदेश,1,12,73010,राष्ट्रिय स्वतन्त्र पार्टी,1,23.31,23.31,11,1
39,कास्की,4,गण्डकी प्रदेश,3,49,180734,राष्ट्रिय स्वतन्त्र पार्टी,3,39.86,48.19,44,5
40,तनहुँ,4,गण्डकी प्रदेश,2,27,127998,राष्ट्रिय स्वतन्त्र पार्टी,2,29.65,33.34,23,4
41,स्याङजा,4,गण्डकी प्रदेश,2,24,130302,राष्ट्रिय स्वतन्त्र पार्टी,2,7.27,15.01,24,0
42,गुल्मी,5,लुम्बिनी प्रदेश,2,43,114824,राष्ट्रिय स्वतन्त्र पार्टी,2,1.08,23.0,38,5
43,पाल्पा,5,लुम्बिनी प्रदेश,2,29,109964,नेपाली काँग्रेस,1,2.93,23.64,27,2
44,अर्घाखाँची,5,लुम्बिनी प्रदेश,1,15,83306,राष्ट्रिय स्वतन्त्र पार्टी,1,14.85,14.85,14,1
45,नवलपरासी (बर्दघाट सुस्ता पूर्व),4,गण्डकी प्रदेश,2,34,157788,राष्ट्रिय स्वतन्त्र पार्टी,2,33.57,42.49,27,7
46,रूपन्देही,5,लुम्बिनी प्रदेश,5,155,416290,राष्ट्रिय स्वतन्त्र पार्टी,5,10.83,56.34,136,19
47,कपिलबस्तु,5,लुम्बिनी प्रदेश,3,98,234420,राष्ट्रिय स्वतन्त्र पार्टी,2,6.71,21.47,94,4
48,मुस्ताङ,4,गण्डकी प्रदेश,1,8,6281,नेपाली काँग्रेस,1,23.9,23.9,7,1
49,म्याग्दी,4,गण्डकी प्रदेश,1,12,43160,स्वतन्त्र,1,34.59,34.59,12,0
50,बाग्लुङ,4,गण्डकी प्रदेश,2,23,91687,राष्ट्रिय स्वतन्त्र पार्टी,2,1.75,19.09,21,2
