candidate_id,candidate_name,gender,age,dob,political_party,election_symbol,is_independent,province_name,district_name,constituency_no,votes_received,vote_share_pct,victory_margin,victory_margin_pct,runner_up_name,runner_up_party,qualification,qualification_normalized,citizenship_district,address,institution
339933,क्षितिज थेबे,पुरुष,38,2044-08-27,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,False,कोशी प्रदेश,ताप्लेजुङ,1,13962,32.55,2251,5.25,गजेन्द्र प्रसाद तुम्याङ लिम्बु,नेपाली काँग्रेस,स्नातक,Bachelor,ताप्लेजुङ,ताप्लेजुङ सिरीजङ्घा गाउँपालिका मादिबुङ,TU
340563,नरेन्द्र कुमार केरुङ,पुरुष,53,2029-08-21,नेपाली काँग्रेस,रुख,False,कोशी प्रदेश,पाँचथर,1,17233,25.75,2499,3.73,हस्त राज शेर्मा,श्रम संस्कृति पार्टी,स्नात्तकोतर व्यवस्थापन,स्नात्तकोतर व्यवस्थापन,पाँचथर,पाँचथर फालेलुङ गाउँपालिका थोक्पन,त्रि.वी क्रितिपुर
340081,निश्कल राई,पुरुष,35,2047-11-07,नेपाली काँग्रेस,रुख,False,कोशी प्रदेश,इलाम,1,14543,24.49,911,1.53,विनोद नेम्बाङ्ग लिम्बु,श्रम संस्कृति पार्टी,,Unknown,इलाम,इलाम सूर्योदय नगरपालिका केँची गाउ,
339922,सुहाङ नेम्बाङ,पुरुष,36,2046-11-06,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,False,कोशी प्रदेश,इलाम,2,22426,35.16,7776,12.19,भेषराज आचार्य,नेपाली काँग्रेस,,Unknown,काठमाडौं,इलाम इलाम नगरपालिका ,
339485,निशा डाँगी,महिला,29,2053-08-16,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,झापा,1,45680,58.35,35130,44.87,केशव राज पाण्डे,नेपाली काँग्रेस,स्नातकोत्तर,Masters,झापा,झापा भद्रपुर नगरपालिका ,TU
339380,इन्दिरा राना मगर,महिला,55,2027-03-18,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,झापा,2,60110,65.82,48742,53.37,देव राज घिमिरे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),आई कम ,आई कम,झापा,झापा अर्जुनधारा नगरपालिका सालबारी,त्रिभुवन युनिभरसिटि
339542,प्रकाश पाठक,पुरुष,37,2045-04-01,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,झापा,3,38674,46.87,21380,25.91,राजेन्द्र प्रसाद लिङ्देन,राष्ट्रिय प्रजातन्त्र पार्टी,स्‍नात्तकोतर,स्‍नात्तकोतर,झापा,झापा बाह्रदशी गाउँपालिका घाग्रा,TU
339393,शम्भु प्रसाद ढकाल,पुरुष,50,2032-08-02,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,झापा,4,43631,56.62,31645,41.07,लाल प्रसाद साँवा लिम्बू,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),एम ए राजनीति शास्त्र,एम ए राजनीति शास्त्र,झापा,झापा कन्काई नगरपालिका ,
339653,वालेन्द्र शाह,पुरुष,36,2046-10-25,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,झापा,5,68348,66.79,49614,48.48,के.पी शर्मा ओली,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),BTU,BTU,काठमाडौं,काठमाडौं काठमाडौँ महानगरपालिका ,
340348,अर्जुन कुमार कार्की,पुरुष,62,2020-04-26,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,False,कोशी प्रदेश,संखुवासभा,1,15636,26.55,636,1.08,मिङमा शेर्पा,राष्ट्रिय स्वतन्त्र पार्टी,बिद्यावारीधि,बिद्यावारीधि,संखुवासभा,संखुवासभा खाँदवारी नगरपालिका ,"university of east anglia, school of development studies, UK"
