party_name,male_candidates,female_candidates,other_candidates,male_elected,female_elected,other_elected,male_total_votes,female_total_votes,other_total_votes,female_candidate_pct
स्वतन्त्र,986,157,0,1,0,0,98638,3478,0,13.74
नेपाली काँग्रेस,154,11,0,17,1,0,1918784,80353,0,6.67
नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),154,10,0,9,0,0,1522493,91351,0,6.1
नेपाली कम्युनिष्ट पार्टी,152,12,0,7,0,0,917451,48135,0,7.32
राष्ट्रिय स्वतन्त्र पार्टी,147,16,0,112,13,0,4105186,545511,0,9.82
राष्ट्रिय प्रजातन्त्र पार्टी,155,8,0,1,0,0,192711,10830,0,4.91
नेपाल कम्युनिस्ट पार्टी (माओवादी),126,4,0,0,0,0,31099,763,0,3.08
नेपाल मजदुर किसान पार्टी,66,54,0,0,0,0,37826,3192,0,45.0
मंगोल नेशनल अर्गनाइजेसन,98,15,0,0,0,0,16520,1302,0,13.27
श्रम संस्कृति पार्टी,102,7,0,3,0,0,266881,37021,0,6.42
उज्यालो नेपाल पार्टी,99,6,0,0,0,0,108436,7172,0,5.71
आम जनता पार्टी(एकल चुनाव चिन्ह),73,25,0,0,0,0,18444,1188,0,25.51
"जनता समाजवादी पार्टी, नेपाल",86,8,0,0,0,0,174264,14894,0,8.51
प्रगतिशील लोकतान्त्रिक पार्टी,80,2,0,0,0,0,23523,1416,0,2.44
राष्ट्रिय जनमोर्चा,61,9,0,0,0,0,23628,1165,0,12.86
जनमत पार्टी,57,4,0,0,0,0,59975,1385,0,6.56
नेशनल रिपब्लिक नेपाल,42,4,0,0,0,0,4667,195,0,8.7
नेपाल कम्युनिष्ट पार्टी (संयुक्त),34,1,0,0,0,0,1556,124,0,2.86
राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),30,3,0,0,0,0,14577,91,0,9.09
मितेरी पार्टी नेपाल,23,6,0,0,0,0,305,78,0,20.69
"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",22,4,0,0,0,0,30824,1403,0,15.38
संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,18,5,0,0,0,0,1692,437,0,21.74
संयुक्त नागरिक पार्टी,21,0,0,0,0,0,1866,0,0,0.0
नेपाल जनता पार्टी,19,1,0,0,0,0,2297,240,0,5.0
जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),18,1,0,0,0,0,3028,126,0,5.26
नेपाल जनमुक्ति पार्टी,17,1,0,0,0,0,791,44,0,5.56
राष्ट्रिय परिवर्तन पार्टी,15,2,0,0,0,0,9432,574,0,11.76
राष्ट्रिय जनमुक्ति पार्टी,13,4,0,0,0,0,2625,974,0,23.53
जय मातृभूमि पार्टी,14,0,0,0,0,0,707,0,0,0.0
राष्ट्र निर्माण दल नेपाल,10,3,0,0,0,0,4501,529,0,23.08
नेपालका लागि नेपाली पार्टी,10,0,0,0,0,0,2881,0,0,0.0
नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),8,0,0,0,0,0,8439,0,0,0.0
बहुजन एकता पार्टी नेपाल(एकल चुनाव चिन्ह),7,0,0,0,0,0,1606,0,0,0.0
नेपाल जनसेवा पार्टी,6,1,0,0,0,0,136,23,0,14.29
सार्वभौम नागरिक पार्टी,5,1,0,0,0,0,1516,200,0,16.67
जन अधिकार पार्टी,6,0,0,0,0,0,544,0,0,0.0
नेपाल मानवतावादी पार्टी,6,0,0,0,0,0,949,0,0,0.0
समावेशी समाजवादी पार्टी,4,1,1,0,0,0,79,55,100,16.67
