party_name,is_independent,seats_contested,seats_won,win_rate_pct,total_votes,vote_share_pct,avg_votes_per_candidate,male_candidates,female_candidates,other_candidates
राष्ट्रिय स्वतन्त्र पार्टी,False,163,125,76.69,4650697,44.34,28532,147,16,0
नेपाली काँग्रेस,False,165,18,10.91,1999137,19.06,12116,154,11,0
नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),False,164,9,5.49,1613844,15.39,9841,154,10,0
नेपाली कम्युनिष्ट पार्टी,False,164,7,4.27,965586,9.21,5888,152,12,0
श्रम संस्कृति पार्टी,False,109,3,2.75,303902,2.9,2788,102,7,0
राष्ट्रिय प्रजातन्त्र पार्टी,False,163,1,0.61,203541,1.94,1249,155,8,0
स्वतन्त्र,True,1143,1,0.09,102116,0.97,89,986,157,0
उज्यालो नेपाल पार्टी,False,105,0,0.0,115608,1.1,1101,99,6,0
संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,False,23,0,0.0,2129,0.02,93,18,5,0
नेपाल कम्युनिस्ट पार्टी (माओवादी),False,130,0,0.0,31862,0.3,245,126,4,0
जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),False,19,0,0.0,3154,0.03,166,18,1,0
"जनता समाजवादी पार्टी, नेपाल",False,94,0,0.0,189158,1.8,2012,86,8,0
मंगोल नेशनल अर्गनाइजेसन,False,113,0,0.0,17822,0.17,158,98,15,0
नेपाल जनमुक्ति पार्टी,False,18,0,0.0,835,0.01,46,17,1,0
राष्ट्रिय परिवर्तन पार्टी,False,17,0,0.0,10006,0.1,589,15,2,0
राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),False,33,0,0.0,14668,0.14,444,30,3,0
प्रगतिशील लोकतान्त्रिक पार्टी,False,82,0,0.0,24939,0.24,304,80,2,0
नेपाल मजदुर किसान पार्टी,False,120,0,0.0,41018,0.39,342,66,54,0
राष्ट्रिय जनमुक्ति पार्टी,False,17,0,0.0,3599,0.03,212,13,4,0
नेपाल सद्भावना पार्टी,False,1,0,0.0,109,0.0,109,1,0,0
जनमत पार्टी,False,61,0,0.0,61360,0.59,1006,57,4,0
नेपाल कम्युनिष्ट पार्टी (संयुक्त),False,35,0,0.0,1680,0.02,48,34,1,0
नेशनल रिपब्लिक नेपाल,False,46,0,0.0,4862,0.05,106,42,4,0
नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),False,4,0,0.0,408,0.0,102,4,0,0
पिपुल फर्ष्ट पार्टी,False,3,0,0.0,369,0.0,123,3,0,0
राष्ट्रिय जनमोर्चा,False,70,0,0.0,24793,0.24,354,61,9,0
नेपाली जनश्रमदान संस्कृति पार्टी,False,2,0,0.0,172,0.0,86,2,0,0
आम जनता पार्टी(एकल चुनाव चिन्ह),False,98,0,0.0,19632,0.19,200,73,25,0
मितेरी पार्टी नेपाल,False,29,0,0.0,383,0.0,13,23,6,0
"राष्ट्रिय उर्जाशील पार्टी, नेपाल",False,3,0,0.0,4304,0.04,1435,3,0,0
संयुक्त नागरिक पार्टी,False,21,0,0.0,1866,0.02,89,21,0,0
जय मातृभूमि पार्टी,False,14,0,0.0,707,0.01,50,14,0,0
राष्ट्र निर्माण दल नेपाल,False,13,0,0.0,5030,0.05,387,10,3,0
समावेशी समाजवादी पार्टी,False,6,0,0.0,234,0.0,39,4,1,1
"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",False,26,0,0.0,32227,0.31,1240,22,4,0
सार्वभौम नागरिक पार्टी,False,6,0,0.0,1716,0.02,286,5,1,0
राष्ट्रिय साझा पार्टी,False,1,0,0.0,191,0.0,191,1,0,0
नेपाल लोकतान्त्रिक पार्टी,False,5,0,0.0,320,0.0,64,5,0,0
समावेशी समाजवादी पार्टी नेपाल,False,2,0,0.0,393,0.0,196,2,0,0
नेपाल जनता पार्टी,False,20,0,0.0,2537,0.02,127,19,1,0
नेपाली जनता दल,False,5,0,0.0,256,0.0,51,5,0,0
नागरिक सर्वोच्चता पार्टी नेपाल(एकल चुनाव चिन्ह),False,3,0,0.0,120,0.0,40,3,0,0
स्वाभिमान पार्टी,False,2,0,0.0,11404,0.11,5702,2,0,0
नेपाल जनता संरक्षण पार्टी,False,3,0,0.0,588,0.01,196,3,0,0
राष्ट्रिय एकता दल,False,5,0,0.0,1455,0.01,291,5,0,0
जन अधिकार पार्टी,False,6,0,0.0,544,0.01,91,6,0,0
नेपालका लागि नेपाली पार्टी,False,10,0,0.0,2881,0.03,288,10,0,0
"जनता लोकतान्त्रिक पार्टी, नेपाल",False,4,0,0.0,77,0.0,19,4,0,0
नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),False,8,0,0.0,8439,0.08,1055,8,0,0
बहुजन एकता पार्टी नेपाल(एकल चुनाव चिन्ह),False,7,0,0.0,1606,0.02,229,7,0,0
बहुजन शक्ति पार्टी,False,3,0,0.0,354,0.0,118,3,0,0
इतिहासिक जनता पार्टी,False,1,0,0.0,0,0.0,0,1,0,0
जनादेश पार्टी नेपाल(एकल चुनाव चिन्ह),False,4,0,0.0,176,0.0,44,4,0,0
राष्ट्रिय जनता पार्टी नेपाल,False,1,0,0.0,13,0.0,13,1,0,0
"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",False,3,0,0.0,569,0.01,190,3,0,0
गतिशील लोकतान्त्रिक पार्टी,False,3,0,0.0,229,0.0,76,2,1,0
युनाईटेड नेपाल डिमोक्रयाटीक पार्टी,False,2,0,0.0,32,0.0,16,2,0,0
प्रजातान्त्रिक पार्टी नेपाल,False,3,0,0.0,37,0.0,12,2,1,0
नेपाल जनसेवा पार्टी,False,7,0,0.0,159,0.0,23,6,1,0
त्रिमूल नेपाल,False,3,0,0.0,16,0.0,5,3,0,0
नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी)(एकल चुनाव चिन्ह),False,1,0,0.0,16,0.0,16,1,0,0
 राष्ट्रिय नागरिक पार्टी,False,1,0,0.0,12,0.0,12,1,0,0
नेपाल मानवतावादी पार्टी,False,6,0,0.0,949,0.01,158,6,0,0
नेपाल मातृभूमि पार्टी,False,1,0,0.0,23,0.0,23,1,0,0
गान्धीवादी पार्टी नेपाल,False,1,0,0.0,4,0.0,4,1,0,0
राष्ट्रिय जनमत पार्टी,False,4,0,0.0,953,0.01,238,4,0,0
